CarbonIntensity
Date,rating
2014-01-01 14:08:00, 500.0
2014-01-01 14:08:01, 500.0
2014-01-01 14:08:02, 500.0
2014-01-01 14:08:03, 500.0
2014-01-01 14:08:04, 500.0
2014-01-01 14:08:05, 500.0
2014-01-01 14:08:06, 500.0
2014-01-01 14:08:07, 500.0
2014-01-01 14:08:08, 500.0
2014-01-01 14:08:09, 500.0
2014-01-01 14:08:10, 500.0
2014-01-01 14:08:11, 500.0
2014-01-01 14:08:12, 500.0
2014-01-01 14:08:13, 500.0
2014-01-01 14:08:14, 500.0
2014-01-01 14:08:15, 500.0
2014-01-01 14:08:16, 500.0
2014-01-01 14:08:17, 500.0
2014-01-01 14:08:18, 500.0
2014-01-01 14:08:19, 500.0
2014-01-01 14:08:20, 500.0
2014-01-01 14:08:21, 500.0
2014-01-01 14:08:22, 500.0
2014-01-01 14:08:23, 500.0
2014-01-01 14:08:24, 500.0
2014-01-01 14:08:25, 500.0
2014-01-01 14:08:26, 500.0
2014-01-01 14:08:27, 500.0
2014-01-01 14:08:28, 500.0
2014-01-01 14:08:29, 500.0
2014-01-01 14:08:30, 500.0
2014-01-01 14:08:31, 500.0
2014-01-01 14:08:32, 500.0
2014-01-01 14:08:33, 500.0
2014-01-01 14:08:34, 500.0
2014-01-01 14:08:35, 500.0
2014-01-01 14:08:36, 500.0
2014-01-01 14:08:37, 500.0
2014-01-01 14:08:38, 500.0
2014-01-01 14:08:39, 500.0
2014-01-01 14:08:40, 500.0
2014-01-01 14:08:41, 500.0
2014-01-01 14:08:42, 500.0
2014-01-01 14:08:43, 500.0
2014-01-01 14:08:44, 500.0
2014-01-01 14:08:45, 500.0
2014-01-01 14:08:46, 500.0
2014-01-01 14:08:47, 500.0
2014-01-01 14:08:48, 500.0
2014-01-01 14:08:49, 500.0
2014-01-01 14:08:50, 500.0
2014-01-01 14:08:51, 500.0
2014-01-01 14:08:52, 500.0
2014-01-01 14:08:53, 500.0
2014-01-01 14:08:54, 500.0
2014-01-01 14:08:55, 500.0
2014-01-01 14:08:56, 500.0
2014-01-01 14:08:57, 500.0
2014-01-01 14:08:58, 500.0
2014-01-01 14:08:59, 500.0
2014-01-01 14:09:00, 500.0
2014-01-01 14:09:01, 500.0
2014-01-01 14:09:02, 500.0
2014-01-01 14:09:03, 500.0
2014-01-01 14:09:04, 500.0
2014-01-01 14:09:05, 500.0
2014-01-01 14:09:06, 500.0
2014-01-01 14:09:07, 500.0
2014-01-01 14:09:08, 500.0
2014-01-01 14:09:09, 500.0
2014-01-01 14:09:10, 500.0
2014-01-01 14:09:11, 500.0
2014-01-01 14:09:12, 500.0
2014-01-01 14:09:13, 500.0
2014-01-01 14:09:14, 500.0
2014-01-01 14:09:15, 500.0
2014-01-01 14:09:16, 500.0
2014-01-01 14:09:17, 500.0
2014-01-01 14:09:18, 500.0
2014-01-01 14:09:19, 500.0
2014-01-01 14:09:20, 500.0
2014-01-01 14:09:21, 500.0
2014-01-01 14:09:22, 500.0
2014-01-01 14:09:23, 500.0
2014-01-01 14:09:24, 500.0
2014-01-01 14:09:25, 500.0
2014-01-01 14:09:26, 500.0
2014-01-01 14:09:27, 500.0
2014-01-01 14:09:28, 500.0
2014-01-01 14:09:29, 500.0
2014-01-01 14:09:30, 500.0
